Term_Translated,Campus,Subject,Subject_Name,Course_Title,Description,Units,Units_Min,Units_Max,Prerequisites,Cross_Listing,Course Name
Unknown Quarter 2225,UCSC,CMPM,Computational Media,Seminar Topics,"Weekly seminar series of current research on a special topic in information systems and technology management. The theme of research presented throughout the course selected by the instructor. Topics may include, but are not limited to, knowledge planning, new product development and management of technology. Enrollment with permission of instructor. (Formerly Technology and Information Management 280S.) May be repeated for credit.",2 units,2,2,,,280S
Unknown Quarter 2225,UCSC,CMPM,Computational Media,Expressive AI,"Weekly seminar covering topics of current research in artificial intelligence applied to interactive art and entertainment, including computer games. Enrollment by permission of instructor. Enrollment restricted to graduate students. May be repeated for credit.",2 units,2,2,,,280X
Unknown Quarter 2225,UCSC,CMPM,Computational Media,Topics in Computational Media,"Students learn about a current research area in computational media and make a contribution. Each course offering focuses on a different aspect of technical, creative, and/or interpretive work in the field. May be repeated for credit.",5 units,5,5,Enrollment is restricted to computational media and human computer interaction graduate students.,,290A
Unknown Quarter 2225,UCSC,CMPM,Computational Media,Topics in Computational Media,"Students learn about a current research area in computational media and make a contribution. Each course offering focuses on a different aspect of technical, creative, and/or interpretive work in the field. May be repeated for credit.",5 units,5,5,Enrollment is restricted to computational media and human computer interaction graduate students.,,290A
Unknown Quarter 2225,UCSC,CMPM,Computational Media,Topics in Computational Media,"Students learn about a current research area in computational media and make a contribution. Each course offering focuses on a different aspect of technical, creative, and/or interpretive work in the field. May be repeated for credit.",5 units,5,5,Enrollment is restricted to computational media and human computer interaction graduate students.,,290A
Unknown Quarter 2225,UCSC,COWL,Cowell College,Academic Literacy and Ethos: Imagining Justice,"Teaches foundational concepts for intellectual exploration and personal development within an academic community: analysis, critical thinking, metacognition, engagement with others across difference, and self-efficacy. Examines the emergence and development of key concepts of justice including procedures, rights, and reparation.",5 units,5,5,Enrollment is restricted to college members.,,1
Unknown Quarter 2225,UCSC,COWL,Cowell College,Academic Literacy and Ethos: Imagining Justice,"Teaches foundational concepts for intellectual exploration and personal development within an academic community: analysis, critical thinking, metacognition, engagement with others across difference, and self-efficacy. Examines the emergence and development of key concepts of justice including procedures, rights, and reparation.",5 units,5,5,Enrollment is restricted to college members.,,1
Unknown Quarter 2225,UCSC,COWL,Cowell College,Academic Literacy and Ethos: Imagining Justice,"Teaches foundational concepts for intellectual exploration and personal development within an academic community: analysis, critical thinking, metacognition, engagement with others across difference, and self-efficacy. Examines the emergence and development of key concepts of justice including procedures, rights, and reparation.",5 units,5,5,Enrollment is restricted to college members.,,1
Unknown Quarter 2225,UCSC,COWL,Cowell College,Academic Literacy and Ethos: Imagining Justice,"Teaches foundational concepts for intellectual exploration and personal development within an academic community: analysis, critical thinking, metacognition, engagement with others across difference, and self-efficacy. Examines the emergence and development of key concepts of justice including procedures, rights, and reparation.",5 units,5,5,Enrollment is restricted to college members.,,1
Unknown Quarter 2225,UCSC,COWL,Cowell College,Academic Literacy and Ethos: Imagining Justice,"Teaches foundational concepts for intellectual exploration and personal development within an academic community: analysis, critical thinking, metacognition, engagement with others across difference, and self-efficacy. Examines the emergence and development of key concepts of justice including procedures, rights, and reparation.",5 units,5,5,Enrollment is restricted to college members.,,1
Unknown Quarter 2225,UCSC,COWL,Cowell College,Academic Literacy and Ethos: Imagining Justice,"Teaches foundational concepts for intellectual exploration and personal development within an academic community: analysis, critical thinking, metacognition, engagement with others across difference, and self-efficacy. Examines the emergence and development of key concepts of justice including procedures, rights, and reparation.",5 units,5,5,Enrollment is restricted to college members.,,1
Unknown Quarter 2225,UCSC,COWL,Cowell College,Academic Literacy and Ethos: Imagining Justice,"Teaches foundational concepts for intellectual exploration and personal development within an academic community: analysis, critical thinking, metacognition, engagement with others across difference, and self-efficacy. Examines the emergence and development of key concepts of justice including procedures, rights, and reparation.",5 units,5,5,Enrollment is restricted to college members.,,1
Unknown Quarter 2225,UCSC,COWL,Cowell College,Leading from Within,"First in a three-part sequence that builds the foundation for aspiring leaders, although anyone can join the sequence at any time. Students explore personal leadership through self-awareness, emotional intelligence, and values-driven activities, build key leadership theories, reflect and assess their strengths and opportunities for growth, and develop a leadership mindset. Through interactive experiential learning activities such as self-assessments, reflective journaling, and case studies, students use new ways of thinking as leadership principles are applied to real-world scenarios. (Formerly Experiential Leadership Program Core Course: Tools for Leadership and Conflict Resolution.)",2 units,2,2,,,11A
Unknown Quarter 2225,UCSC,COWL,Cowell College,Personal Finance and Investing,"Overview of the financial responsibilities that young adults take on after college. Topics include: taxes, budgeting, student loans, credit, and investing in the stock market. Ubiquitous terms, such as 401(k), are defined, and financial principles are used to develop a framework for personal financial decision-making.",5 units,5,5,,,52
Unknown Quarter 2225,UCSC,COWL,Cowell College,Hope,"Interdisciplinary examination of the concept of hope, with particular emphasis on philosophical, psychological, and artistic approaches to the concept. Students consider viewpoints for and against hope as a human strength, and a variety of accounts of what constitutes hope.",5 units,5,5,,,132
Unknown Quarter 2225,UCSC,COWL,Cowell College,Designing Your Life,"Do you ever think, ''I want to make a difference!'' but don't know where to start? In this class, students learn design thinking theory and methods and apply them to their lives, specifically to the question of what to do after college. Students build deeper awareness of their values and goals, define areas of life and work they want to grow in, ideate multiple life paths, prototype elements of careers of interest, and take small steps to try these out. This is an experiential class that asks students to try new ways of thinking and step outside comfort zones as they learn a creative problem-solving approach applicable in many contexts. (Formerly offered as CLNI 140.)",5 units,5,5,Enrollment is restricted to juniors and seniors.,,140
Unknown Quarter 2225,UCSC,COWL,Cowell College,Social Change,"How do you change the world, working alone and in concert with others? To find out students spend the quarter learning about how one non-profit organization of their choosing creates change in their community. Students research an agency, focusing on who is served, how funding works and how real change is created. May be repeated for credit.",2 units,2,2,,,168
Unknown Quarter 2225,UCSC,CRES,Critical Race and Ethnic Studies,Critical Race and Ethnic Studies: An Introduction,"Examines the concept of race, followed by an investigation of colorblindness, multiculturalism, and post-racialism. Race and ethnicity are examined as historically formulated in relationship to the concepts of gender, sexuality, class, nationalism, indigeneity, citizenship, immigration, and inequality.",5 units,5,5,Prerequisite(s): Satisfaction of the Entry Level Writing requirement.,,10
Unknown Quarter 2225,UCSC,CRES,Critical Race and Ethnic Studies,"Decolonial Intersectionality: Gender, Race, Indigeneity","Applies the concept of intersectionality within feminist thinking to an exploration of the limits and possibilities of decolonization and the ways in which gender, race, and indigeneity inform both colonial domination and resistance.",5 units,5,5,,,122
Unknown Quarter 2225,UCSC,CRES,Critical Race and Ethnic Studies,Black Marxism,"Marxism has been a foundational framework for the Black radical tradition. This course offers a theoretical framework to key texts in Marxism, and an overview to the problems, insights, contexts, and interventions that Black intellectuals have deployed in conversation with it.",5 units,5,5,,,129
Unknown Quarter 2225,UCSC,CRES,Critical Race and Ethnic Studies,Intro to Arab American Communities,Situates Arab American studies and the study of Arab and Muslim diasporic communities originating from the region within a broader global racial order and through an intersectional approach. This course can be used to satisfy the CRES Transnational or Social Movement requirement if completed with a C/P or better. (Formerly Arab Diasporic Communities.),5 units,5,5,,,170
Unknown Quarter 2225,UCSC,CRES,Critical Race and Ethnic Studies,"Race, Gender, and Science","What does science say about who we are? How does it script what bodies can mean? Can scientific knowledge be produced under occupation? How has science featured in struggles for racial and sexual liberation? This course investigates the relationship between scientific discourse and global ideas of race and gender. Students build literacy in different ways of scientific knowing, while reflecting on their social, political, and ethical ramifications. Also inquires into ongoing efforts to decolonize science. No prior science experience is required.",5 units,5,5,,,185
Unknown Quarter 2225,UCSC,CRES,Critical Race and Ethnic Studies,Topics in Critical Race and Ethnic Studies,"Focuses on a particular topic in critical race and ethnic studies. Topics vary with each offering but might include approaching racial and ethnic formations through a range of disciplinary and interdisciplinary perspectives, including indigenous studies, Black studies, Latinx studies, Asian American studies, queer critique, gender studies, transgender studies, performance studies, human rights studies, mixed race studies, legal studies, critical area studies, war and empire studies, environmental studies, science studies, and critical university studies. May be repeated for credit.",5 units,5,5,,,188X
Unknown Quarter 2225,UCSC,CRES,Critical Race and Ethnic Studies,Marxism and Feminism,"Explores critically the intersections and crisis points between feminism and Marxism as bodies of thought, theoretical formations, and forms of historical inquiry.",5 units,5,5,"Prerequisite(s): CRES 10, CRES 100 and CRES 101; satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior CRES majors.",,190V
Unknown Quarter 2225,UCSC,CRES,Critical Race and Ethnic Studies,Indigenous Politics,"Examines key questions in Indigenous studies through a variety of methods, theories, histories, and issues regarding Indigenous peoples and a critical study of power in the context of anti-colonial struggle across Turtle Island and Oceania, but also beyond.",5 units,5,5,Enrollment is restricted to graduate students.,,217
Unknown Quarter 2225,UCSC,CRSN,Carson College,Academic Literacy and Ethos: Environment and Society,"Teaches foundational concepts for intellectual exploration and personal development within an academic community: analysis, critical thinking, metacognition, engagement with others across difference, and self-efficacy. Engages students in Rachel Carson's intellectual tradition of investigating relationships between environment and society.",5 units,5,5,Enrollment is restricted to college members.,,1
Unknown Quarter 2225,UCSC,CRSN,Carson College,Academic Literacy and Ethos: Environment and Society,"Teaches foundational concepts for intellectual exploration and personal development within an academic community: analysis, critical thinking, metacognition, engagement with others across difference, and self-efficacy. Engages students in Rachel Carson's intellectual tradition of investigating relationships between environment and society.",5 units,5,5,Enrollment is restricted to college members.,,1
Unknown Quarter 2225,UCSC,CRSN,Carson College,Academic Literacy and Ethos: Environment and Society,"Teaches foundational concepts for intellectual exploration and personal development within an academic community: analysis, critical thinking, metacognition, engagement with others across difference, and self-efficacy. Engages students in Rachel Carson's intellectual tradition of investigating relationships between environment and society.",5 units,5,5,Enrollment is restricted to college members.,,1
Unknown Quarter 2225,UCSC,CRSN,Carson College,Academic Literacy and Ethos: Environment and Society,"Teaches foundational concepts for intellectual exploration and personal development within an academic community: analysis, critical thinking, metacognition, engagement with others across difference, and self-efficacy. Engages students in Rachel Carson's intellectual tradition of investigating relationships between environment and society.",5 units,5,5,Enrollment is restricted to college members.,,1
Unknown Quarter 2225,UCSC,CRSN,Carson College,Academic Literacy and Ethos: Environment and Society,"Teaches foundational concepts for intellectual exploration and personal development within an academic community: analysis, critical thinking, metacognition, engagement with others across difference, and self-efficacy. Engages students in Rachel Carson's intellectual tradition of investigating relationships between environment and society.",5 units,5,5,Enrollment is restricted to college members.,,1
Unknown Quarter 2225,UCSC,CRSN,Carson College,Academic Literacy and Ethos: Environment and Society,"Teaches foundational concepts for intellectual exploration and personal development within an academic community: analysis, critical thinking, metacognition, engagement with others across difference, and self-efficacy. Engages students in Rachel Carson's intellectual tradition of investigating relationships between environment and society.",5 units,5,5,Enrollment is restricted to college members.,,1
Unknown Quarter 2225,UCSC,CRSN,Carson College,Cultivating Food Justice and Sustainability,"Learn sustainable, ecologically sound horticulture, permaculture, and small-scale organic agricultural practices through hands-on gardening experience. This outdoor interdisciplinary course operates within a food justice framework. (Formerly Rachel Carson College Garden Internship.) May be repeated for credit.",1 units,1,1,Enrollment restricted to college members. Other students by permission of the instructor.,,90
Unknown Quarter 2225,UCSC,CRSN,Carson College,"Sustainability Laboratory Tools, Techniques, and Applications","Introduces the concepts, skills, and strategies fundamental to the successful development of sustainability-related projects appropriate to the Sustainability Lab. Provides access to functional and living laboratory space, equipment, professional development, and technical training. May be repeated for credit.",3 units,3,3,,,151C
Unknown Quarter 2225,UCSC,CRSN,Carson College,IDEASS Laboratory Practicum,Laboratory designed to advance sustainability education with real-world impact. Enables students to develop as change agents and to make valued contributions to sustainable-design projects that advance new technologies or strategies and bring about societal and environmental change. May be repeated for credit.,3 units,3,3,"Enrollment is restricted to sophomores, juniors, seniors and graduate students.",,152
Unknown Quarter 2225,UCSC,CRSN,Carson College,IDEASS Laboratory Practicum,Laboratory designed to advance sustainability education with real-world impact. Enables students to develop as change agents and to make valued contributions to sustainable-design projects that advance new technologies or strategies and bring about societal and environmental change. May be repeated for credit.,3 units,3,3,"Enrollment is restricted to sophomores, juniors, seniors and graduate students.",,152
Unknown Quarter 2225,UCSC,CRSN,Carson College,IDEASS Laboratory Practicum,Laboratory designed to advance sustainability education with real-world impact. Enables students to develop as change agents and to make valued contributions to sustainable-design projects that advance new technologies or strategies and bring about societal and environmental change. May be repeated for credit.,3 units,3,3,"Enrollment is restricted to sophomores, juniors, seniors and graduate students.",,152
Unknown Quarter 2225,UCSC,CRWN,Crown College,Academic Literacy and Ethos: Ethical and Societal Implications of Emerging Technologies,"Teaches foundational concepts for intellectual exploration and personal development within an academic community: analysis, critical thinking, metacognition, engagement with others across difference, and self-efficacy. Examines how technological revolutions happen, how they transform societies, and how these changes generate new ideological narratives.",5 units,5,5,Enrollment is restricted to college members.,,1
Unknown Quarter 2225,UCSC,CRWN,Crown College,Academic Literacy and Ethos: Ethical and Societal Implications of Emerging Technologies,"Teaches foundational concepts for intellectual exploration and personal development within an academic community: analysis, critical thinking, metacognition, engagement with others across difference, and self-efficacy. Examines how technological revolutions happen, how they transform societies, and how these changes generate new ideological narratives.",5 units,5,5,Enrollment is restricted to college members.,,1
Unknown Quarter 2225,UCSC,CRWN,Crown College,Academic Literacy and Ethos: Ethical and Societal Implications of Emerging Technologies,"Teaches foundational concepts for intellectual exploration and personal development within an academic community: analysis, critical thinking, metacognition, engagement with others across difference, and self-efficacy. Examines how technological revolutions happen, how they transform societies, and how these changes generate new ideological narratives.",5 units,5,5,Enrollment is restricted to college members.,,1
Unknown Quarter 2225,UCSC,CRWN,Crown College,Theory and Practices for a Purposeful Life,"Goal is to understand our ability to impact the world around us and recognize that while we cannot control it, we are able to control the ways in which we respond to the various situations that life brings us. The class discusses each of our seven intelligences, the ways in which we intake, process, and put out information and how we gain, use, and lose our internal resources in our everyday exchanges. Includes lectures and active engagement with texts and videos, shared experiences, physical exercises, and games. Also includes a customized App to support follow-through and engagement, and journaling to support self-awareness and reflection.",3 units,3,3,,,81
Unknown Quarter 2225,UCSC,CRWN,Crown College,GetVirtual Business Assistance Internship,"Community service-oriented class that provides a supervised learning experience for students to help increase local business client acquisition, integrating academic coursework with community involvement. Students gain valuable practical skills as consultants. They are trained to do interviews, write proposals, project-manage, design websites, and marketing campaigns. No prerequisites are required but CRWN 90 or CRWN 92 are highly recommended to acquire familiarity with the lean startup method, the business model canvas, and customer discovery. May be repeated for credit. (Formerly CRWN 95, GetVirtual Business Assistance.) May be repeated for credit.",5 units,5,5,,,195
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Computing Technology in a Changing Society,"Introduction to computer hardware, software, and networking, with an emphasis on how these technologies impact society. Students learn key technical concepts and terminology and learn to modify and create programming code through making webpages and simple games. Students also gain hands-on experience using emerging technological tools such as 3D printing, laser-cutting, or 3D modeling software in virtual reality headsets. Course covers the history of computing, the early days of the internet, hardware fundamentals, accessibility tools, professional programming practices, open-source software, intellectual property concerns, networking, digital privacy, and cybersecurity. Designed for students with only basic, user-level computer experience. (Formerly offered as Personal Computer Concepts: Software and Hardware.)",5 units,5,5,,,3
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Computer Systems and Assembly Language and Lab,"Introduction to computer systems and assembly language and how computers compute in hardware and software. Topics include digital logic, number systems, data structures, compiling/assembly process, basics of the system software, and computer architecture. Course is 7 credits with integrated laboratories illustrating concepts covered in lecture. Note that CSE 12 assumes some programming experience. Students can show programming experience by taking one of the courses listed in the prerequisite list below or by taking the CSE python Test-out Exam: https://undergrad.soe.ucsc.edu/cse-20-testout-exam (Formerly CSE 12 and CSE 12L)",7 units,7,7,"Prerequisite(s): CSE 5J, or CSE 20, or CSE 30, or BME 160, or equivalent.",,12
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Computer Systems and Assembly Language and Lab,"Introduction to computer systems and assembly language and how computers compute in hardware and software. Topics include digital logic, number systems, data structures, compiling/assembly process, basics of the system software, and computer architecture. Course is 7 credits with integrated laboratories illustrating concepts covered in lecture. Note that CSE 12 assumes some programming experience. Students can show programming experience by taking one of the courses listed in the prerequisite list below or by taking the CSE python Test-out Exam: https://undergrad.soe.ucsc.edu/cse-20-testout-exam (Formerly CSE 12 and CSE 12L)",7 units,7,7,"Prerequisite(s): CSE 5J, or CSE 20, or CSE 30, or BME 160, or equivalent.",,12
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Computer Systems and C Programming,"Focuses on C programming, command line, shell programming, editors, debuggers, source code control, and other tools. Examines basic computer systems, algorithm design, and development, data types, and program structures. Develops understanding of process model, compile-link-execute build cycle, language-machine interface, memory, and data representation. Students cannot receive credit for CSE 13S, CSE 13E, and ECE 13. Course is 7 credits with integrated laboratory.",7 units,7,7,Prerequisite(s): CSE 12 or BME 160.,,13S
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Computer Systems and C Programming,"Focuses on C programming, command line, shell programming, editors, debuggers, source code control, and other tools. Examines basic computer systems, algorithm design, and development, data types, and program structures. Develops understanding of process model, compile-link-execute build cycle, language-machine interface, memory, and data representation. Students cannot receive credit for CSE 13S, CSE 13E, and ECE 13. Course is 7 credits with integrated laboratory.",7 units,7,7,Prerequisite(s): CSE 12 or BME 160.,,13S
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Applied Discrete Mathematics,"Introduction to applications of discrete mathematical systems. Topics include sets, functions, relations, graphs, predicate calculus, mathematical proof methods (induction, contraposition, contradiction), counting methods (permutations, combinations), and recurrences. Examples are drawn from computer science and computer engineering. Knowledge of computer programming is useful before taking this course. Students who do not have prior programming experience are strongly recommended to take CSE 20 or CSE 30 before taking this course.",5 units,5,5,Prerequisite(s): MATH 19A or MATH 20A or MATH 19B or MATH 20B or MATH 11B or AM 11B or AM 15B or ECON 11B.,,16
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Beginning Programming in Python,"Provides students with Python programming skills and the ability to design programs and read Python code. Topics include data types, control flow, methods and advanced functions, built-in data structures, and introduction to OOP. No prior programming experience is required. Students may not receive credit for CSE 20 after receiving credit for CSE 30. Students with prior programming experience (especially in Python) are encouraged to take CSE Testout Exam to be evaluated for their readiness to take CSE 30 directly: https://undergrad.soe.ucsc.edu/cse-20-testout-exam.",5 units,5,5,Antirequisite: Students cannot enroll in this class after receiving a C or better in CSE 30.,,20
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Beginning Programming in Python,"Provides students with Python programming skills and the ability to design programs and read Python code. Topics include data types, control flow, methods and advanced functions, built-in data structures, and introduction to OOP. No prior programming experience is required. Students may not receive credit for CSE 20 after receiving credit for CSE 30. Students with prior programming experience (especially in Python) are encouraged to take CSE Testout Exam to be evaluated for their readiness to take CSE 30 directly: https://undergrad.soe.ucsc.edu/cse-20-testout-exam.",5 units,5,5,Antirequisite: Students cannot enroll in this class after receiving a C or better in CSE 30.,,20
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Programming Abstractions: Python,"Introduction to software development in Python focusing on structuring software in terms of objects endowed with primitive operations. Introduces concepts and techniques via a sequence of concrete case studies. Coursework consists of programming assignments and a final examination. Note that CSE 30 assumes some Python experience, students trained in a different language should self-study Python to prepare for CSE 30. See CSE Testout Exam for resources and further information.",7 units,7,7,"Prerequisite(s): CSE 20 or BME 160; and MATH 3 or MATH 11A or MATH 19A or MATH 20A or AM 3 or AM 11A or ECON 11A, or a score of 400 or higher on the mathematics placement examination (MPE).",,30
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Machine Learning Basics: Data Analysis and Empirical Methods,"Introduction to the basic mathematical concepts and programming abstractions required for modern machine learning, data science, and empirical science. The mathematical foundations include basic probability, linear algebra, and optimization. The programming abstractions include data manipulation and visualization. The principles of empirical analysis, evaluation, critique and reproducibility are emphasized. Mathematical and programming abstractions are grounded in empirical studies including data-driven evidential reasoning, predictive modeling, and causal analysis.",5 units,5,5,"Prerequisite(s): MATH 19B or MATH 20B, and CSE 30.",,40
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Machine Learning Basics: Data Analysis and Empirical Methods,"Introduction to the basic mathematical concepts and programming abstractions required for modern machine learning, data science, and empirical science. The mathematical foundations include basic probability, linear algebra, and optimization. The programming abstractions include data manipulation and visualization. The principles of empirical analysis, evaluation, critique and reproducibility are emphasized. Mathematical and programming abstractions are grounded in empirical studies including data-driven evidential reasoning, predictive modeling, and causal analysis.",5 units,5,5,"Prerequisite(s): MATH 19B or MATH 20B, and CSE 30.",,40
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,"Universal Access: Disability, Technology, and Society","Overview of human-centered technology and of its potential for increasing the quality of life and independence of disabled individuals. A substantial portion of the course is devoted to studying physical, psychological, and psychosocial aspects of disability. Topics include: diversity and integration, legislation, accessibility, and universal design. (Formerly Computer Engineering 80A.)",5 units,5,5,,,80A
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Introduction to Networking and the Internet,"Introduction to the evolution, technological basis, and services of the Internet, with descriptions of its underlying communications structure, routing algorithms, peer-to-peer hierarchy, reliability, and packet switching. Network security, mail, multimedia and data compression issues, HTML, and digital images. Students who have completed course 150 cannot receive credit for this course. (Formerly Computer Engineering 80N.)",5 units,5,5,,,80N
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Introduction to Data Structures and Algorithms,"Introduction to abstract data types and basics of algorithms. Linked lists, stacks, queues, hash tables, trees, heaps, and graphs will be covered. Students will also be taught how to derive big-Oh analysis of simple algorithms. All assignments will be in C/C++. (Formerly Computer Science 101 Algorithms and Abstract Data Types.)",5 units,5,5,Prerequisite(s): CSE 12 or BME 160; CSE 13E or ECE 13 or CSE 13S; and CSE 16; and CSE 30; and MATH 11B or MATH 19B or MATH 20B or AM 11B or ECON 11B.,,101
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Mathematical Thinking for Computer Science,"Introduction to problem-solving and proof techniques for computer science: modeling CS problems using mathematical concepts; solving problems and inventing mathematical arguments; writing rigorous, understandable proofs using LaTeX. Applications in all CS areas with focus on analyzing algorithms, programs, and protocols.",5 units,5,5,Prerequisite(s): CSE 101 or CSE 101P.,,101M
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Mathematical Thinking for Computer Science,"Introduction to problem-solving and proof techniques for computer science: modeling CS problems using mathematical concepts; solving problems and inventing mathematical arguments; writing rigorous, understandable proofs using LaTeX. Applications in all CS areas with focus on analyzing algorithms, programs, and protocols.",5 units,5,5,Prerequisite(s): CSE 101 or CSE 101P.,,101M
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Introduction to Analysis of Algorithms,"Methods for the systematic construction and mathematical analysis of algorithms. Order notation, the RAM model of computation, lower bounds, and recurrence relations are covered. The algorithm design techniques include divide-and-conquer, branch and bound, and dynamic programming. Applications to combinatorial, graph, string, and geometric algorithms. (Formerly Computer Science 102.)",5 units,5,5,Prerequisite(s): CSE 101M.,,102
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Algorithmic Foundations of Cryptography,"Focuses on some of the foundational aspects of modern cryptography, namely, private and public key cryptography, digital signatures, pseudorandom generators and functions, message authentication codes, hash functions, and random oracles. Course also connects the formal concepts with some real-world applications, like RA, SSL, and bitcoin, exposing students to general concepts of probability theory, number theory, and rigorous proofs. (Formerly Computer Science 118.)",5 units,5,5,Prerequisite(s): CSE 101. Enrollment restricted to computer engineering and computer science majors.,,108
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Foundations of Programming Languages,"Problem solving emphasizing recursion, data abstraction, and higher-order functions. Introduction to types and type checking, modular programming, and reasoning about program correctness. (Formerly CSE 116, Introduction to Functional Programming.)",5 units,5,5,Prerequisite(s): CSE 101 or CSE 101P.,,114A
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Introduction to Software Engineering,"Emphasizes the characteristics of well-engineered software systems. Topics include requirements analysis and specification, design, programming, verification and validation, maintenance, and project management. Practical and research methods are studied. Imparts an understanding of the steps used to effectively develop computer software. (Formerly Computer Science 115.)",5 units,5,5,Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements and CSE 101 and CSE 130.,,115A
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Computer Architecture,"Introduction to computer architecture including examples of current approaches and the effect of technology and software. Computer performance evaluation, basic combinatorial and sequential digital components, different instruction set architectures with a focus on the MIPS ISA and RISC paradigm. Evolution of CPU microarchitecture from single-cycle to multi-cycle pipelines, with overview of super-scalar, multiple-issue and VLIW. Memory system, cache, virtual memory and relationship between memory and performance. Evolution of PC system architecture. May include advanced topics, such as parallel processing, MIMD, and SIMD.",5 units,5,5,"Prerequisite(s): CSE 12; and CSE 13E, or CSE 13S, or ECE 13, or CSE 15 and CSE 15L. CSE 16 recommended.",,120
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Computer Architecture,"Introduction to computer architecture including examples of current approaches and the effect of technology and software. Computer performance evaluation, basic combinatorial and sequential digital components, different instruction set architectures with a focus on the MIPS ISA and RISC paradigm. Evolution of CPU microarchitecture from single-cycle to multi-cycle pipelines, with overview of super-scalar, multiple-issue and VLIW. Memory system, cache, virtual memory and relationship between memory and performance. Evolution of PC system architecture. May include advanced topics, such as parallel processing, MIMD, and SIMD.",5 units,5,5,"Prerequisite(s): CSE 12; and CSE 13E, or CSE 13S, or ECE 13, or CSE 15 and CSE 15L. CSE 16 recommended.",,120
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Principles of Computer Systems Design,"Covers the principles governing computer-systems design and complexity; familiarity with memory, storage, and networking; concurrency and synchronization; layering (abstraction and modularity); naming; client-server and virtualized system models; and performance. Requires significant programming projects demonstrating mastery of these concepts.",5 units,5,5,"Prerequisite(s): CSE 12; and CSE 101, or CSE 15 and CSE 15L; and knowledge of C programming language.",,130
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Computer Security,Introduction to computer security (including selected topics in network security). Access control. Security in programming languages. Basic cryptography. Security protocols. (Formerly Computer Science 122.),5 units,5,5,Prerequisite(s): CSE 130 or CSE 131 or permission of instructor. Enrollment restricted to School of Engineering majors.,,132
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Embedded Operating Systems,"Detailed exploration of the internal design of an embedded operating systems kernel. Covers kernel structure and organization, device drivers, I/O systems, file systems, memory management, and security. Students complete significant programming projects that extend or modify existing operating systems. (Formerly Computer Engineering 114.)",5 units,5,5,Prerequisite(s): CSE 120.,,134
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Artificial Intelligence,"Introduction to the contemporary concepts and techniques of artificial intelligence, including any or all of: machine perception and inference, machine learning, optimization problems, computational methods and models of search, game playing and theorem proving. Emphasis may be on any formal method of perceiving, learning, reasoning, and problem solving which proves to be effective. This includes both symbolic and neural network approaches to artificial intelligence. Issues discussed include symbolic versus nonsymbolic methods, local versus global methods, hierarchical organization and control, and brain modeling versus engineering approaches. Lisp or Prolog may be introduced. Involves one major project or regular programming assignments.",5 units,5,5,Prerequisite(s): CSE 101 or CSE 101P; and CSE 40 or STAT 132.,,140
Unknown Quarter 2225,UCSC,CSE,Computer Science and Engineering,Machine Learning,"Introduction to machine learning algorithms and their applications. Topics include classification learning, density estimation and Bayesian learning regression, and online learning. Provides introduction to standard learning methods such as neural networks, decision trees, boosting, and nearest neighbor techniques.",5 units,5,5,"Prerequisite(s): CSE 40 or STAT 132; and CSE 101 or CSE 101P; and AM 30, or MATH 22, or MATH 23A; and STAT 131 or CSE 107.",,142
